date,day_of_week,hour_slot,patient_count,severity,high_acuity,avg_PainGrade,Medical/Internal,Trauma/Injury,lag_2wk_avg,lag_4wk_avg,lag_8wk_avg,lag_12wk_avg,lag_8wk_severity,lag_8wk_high_acuity,lag_8wk_avg_PainGrade,lag_8wk_Medical/Internal,lag_8wk_Trauma/Injury,month,week_of_year,is_weekend,daily_cumulative_avg
2017-03-25,6,3,32,2.75,0.59375,4.125,20.0,11,,,,,,,,,,3,12,1,12.666666666666666
2017-03-25,6,4,21,2.523809523809524,0.6190476190476191,4.684210526315789,12.0,8,,,,,,,,,,3,12,1,17.5
2017-03-25,6,5,21,2.4761904761904763,0.3809523809523809,3.555555555555556,13.0,6,,,,,,,,,,3,12,1,18.2
2017-03-26,0,0,14,2.857142857142857,0.3571428571428571,3.857142857142857,10.0,3,,,,,,,,,,3,12,1,
2017-03-26,0,1,8,2.5,0.5,4.375,6.0,2,,,,,,,,,,3,12,1,14.0
2017-03-26,0,2,25,2.52,0.52,3.88,17.0,6,,,,,,,,,,3,12,1,11.0
2017-03-26,0,3,22,2.3181818181818183,0.6818181818181818,4.368421052631579,11.0,10,,,,,,,,,,3,12,1,15.666666666666666
2017-03-26,0,4,17,2.823529411764706,0.3529411764705882,4.1875,8.0,7,,,,,,,,,,3,12,1,17.25
2017-03-26,0,5,24,2.25,0.8333333333333334,3.5416666666666665,21.0,3,,,,,,,,,,3,12,1,17.2
2017-03-27,1,0,21,2.4285714285714284,0.7619047619047619,2.85,14.0,5,,,,,,,,,,3,13,0,
2017-03-27,1,1,10,2.3,0.7,3.2222222222222223,6.0,4,,,,,,,,,,3,13,0,21.0
2017-03-27,1,2,22,2.4545454545454546,0.6818181818181818,0.2857142857142857,15.0,6,,,,,,,,,,3,13,0,15.5
2017-03-27,1,3,19,2.473684210526316,0.6842105263157895,3.0,10.0,9,,,,,,,,,,3,13,0,17.666666666666668
2017-03-27,1,4,29,2.2413793103448274,0.7931034482758621,4.928571428571429,11.0,18,,,,,,,,,,3,13,0,18.0
2017-03-27,1,5,30,2.333333333333333,0.7666666666666667,4.678571428571429,12.0,17,,,,,,,,,,3,13,0,20.2
2017-03-28,2,0,7,2.0,1.0,4.857142857142857,6.0,0,8.0,8.0,8.0,8.0,3.25,0.25,0.125,4.0,2.0,3,13,0,8.0
2017-03-28,2,1,8,2.125,0.875,4.375,6.0,2,11.0,11.0,11.0,11.0,3.272727272727273,0.0909090909090909,2.1818181818181817,3.0,6.0,3,13,0,7.0
2017-03-28,2,2,10,2.6,0.6,2.2,3.0,5,16.0,16.0,16.0,16.0,2.4375,0.625,4.0,9.0,4.0,3,13,0,7.5
2017-03-28,2,3,18,2.388888888888889,0.6111111111111112,1.9444444444444444,11.0,4,21.0,21.0,21.0,21.0,2.4285714285714284,0.5714285714285714,3.809523809523809,10.0,9.0,3,13,0,8.333333333333334
2017-03-28,2,4,17,2.588235294117647,0.4117647058823529,1.8125,8.0,9,26.0,26.0,26.0,26.0,2.6923076923076925,0.3461538461538461,3.1666666666666665,14.0,11.0,3,13,0,10.75
2017-03-28,2,5,22,2.636363636363636,0.5909090909090909,0.5,9.0,12,21.0,21.0,21.0,21.0,2.523809523809524,0.5238095238095238,0.3333333333333333,9.0,9.0,3,13,0,12.0
2017-03-29,3,0,18,2.5,0.6666666666666666,0.1111111111111111,13.0,5,10.0,10.0,10.0,10.0,3.0,0.3,0.6,7.0,3.0,3,13,0,10.0
2017-03-29,3,1,8,2.125,0.875,1.5,3.0,5,8.0,8.0,8.0,8.0,2.375,0.625,4.0,7.0,1.0,3,13,0,18.0
2017-03-29,3,2,9,2.888888888888889,0.2222222222222222,1.8888888888888888,6.0,3,20.0,20.0,20.0,20.0,2.3,0.7,4.55,14.0,5.0,3,13,0,13.0
2017-03-29,3,3,21,2.571428571428572,0.5238095238095238,4.047619047619048,12.0,7,18.0,18.0,18.0,18.0,2.555555555555556,0.5,4.117647058823529,16.0,1.0,3,13,0,11.666666666666666
2017-03-29,3,4,26,2.5,0.5769230769230769,4.541666666666667,17.0,9,26.0,26.0,26.0,26.0,2.423076923076923,0.6538461538461539,3.5416666666666665,9.0,17.0,3,13,0,14.0
2017-03-29,3,5,22,2.5,0.7272727272727273,4.954545454545454,14.0,8,25.0,25.0,25.0,25.0,2.76,0.4,0.04,12.0,8.0,3,13,0,16.4
2017-03-30,4,0,20,2.65,0.55,4.722222222222222,15.0,4,15.0,15.0,15.0,15.0,2.533333333333333,0.5333333333333333,0.0,9.0,5.0,3,13,0,15.0
2017-03-30,4,1,9,3.111111111111111,0.3333333333333333,6.25,8.0,0,8.0,8.0,8.0,8.0,2.625,0.625,0.75,6.0,2.0,3,13,0,20.0
2017-03-30,4,2,18,2.2222222222222223,0.7222222222222222,2.3125,9.0,7,15.0,15.0,15.0,15.0,2.6,0.5333333333333333,3.6666666666666665,10.0,2.0,3,13,0,14.5
2017-03-30,4,3,28,2.607142857142857,0.5357142857142857,2.107142857142857,11.0,15,14.0,14.0,14.0,14.0,2.2857142857142856,0.7857142857142857,3.857142857142857,7.0,6.0,3,13,0,15.666666666666666
2017-03-30,4,4,20,2.8,0.35,1.5789473684210529,8.0,8,29.0,29.0,29.0,29.0,2.655172413793104,0.4482758620689655,2.321428571428572,20.0,8.0,3,13,0,18.75
2017-03-30,4,5,27,2.703703703703704,0.5185185185185185,2.708333333333333,16.0,9,24.0,24.0,24.0,24.0,2.5,0.5833333333333334,0.0,16.0,8.0,3,13,0,19.0
2017-03-31,5,0,12,2.583333333333333,0.4166666666666667,2.6666666666666665,7.0,2,13.0,13.0,13.0,13.0,2.1538461538461537,0.6923076923076923,0.0,11.0,2.0,3,13,0,13.0
2017-03-31,5,1,11,2.727272727272727,0.6363636363636364,2.363636363636364,7.0,3,4.0,4.0,4.0,4.0,3.0,0.5,2.5,4.0,0.0,3,13,0,12.0
2017-03-31,5,2,18,2.333333333333333,0.6111111111111112,1.75,7.0,6,19.0,19.0,19.0,19.0,2.421052631578948,0.631578947368421,3.842105263157895,10.0,7.0,3,13,0,11.5
2017-03-31,5,3,24,2.5416666666666665,0.5416666666666666,3.0,14.0,8,20.0,20.0,20.0,20.0,2.95,0.25,3.7,6.0,11.0,3,13,0,13.666666666666666
2017-03-31,5,4,19,2.263157894736842,0.7894736842105263,4.722222222222222,12.0,6,26.0,26.0,26.0,26.0,2.576923076923077,0.4615384615384615,2.8846153846153846,13.0,12.0,3,13,0,16.25
2017-03-31,5,5,23,2.869565217391304,0.5217391304347826,5.2727272727272725,13.0,9,16.0,16.0,16.0,16.0,2.5,0.5,0.0,4.0,11.0,3,13,0,16.8
2017-04-01,6,0,22,2.4545454545454546,0.7272727272727273,4.818181818181818,11.0,10,16.0,16.0,16.0,16.0,2.6875,0.4375,0.0,12.0,4.0,4,13,1,16.0
2017-04-01,6,1,6,2.6666666666666665,0.6666666666666666,6.5,3.0,2,7.0,7.0,7.0,7.0,2.0,1.0,0.5714285714285714,5.0,2.0,4,13,1,22.0
2017-04-01,6,2,14,2.0,0.7142857142857143,2.1,11.0,3,15.0,15.0,15.0,15.0,2.6,0.4666666666666667,3.2142857142857144,10.0,2.0,4,13,1,14.0
2017-04-01,6,3,22,2.863636363636364,0.4545454545454545,2.0454545454545454,10.0,10,32.0,32.0,32.0,32.0,2.75,0.59375,4.125,20.0,11.0,4,13,1,14.0
2017-04-01,6,4,23,2.8260869565217392,0.4347826086956521,2.136363636363636,9.0,12,21.0,21.0,21.0,21.0,2.523809523809524,0.6190476190476191,4.684210526315789,12.0,8.0,4,13,1,16.0
2017-04-01,6,5,30,2.9,0.3666666666666666,2.1,6.0,19,21.0,21.0,21.0,21.0,2.4761904761904763,0.3809523809523809,3.555555555555556,13.0,6.0,4,13,1,17.4
2017-04-02,0,0,18,2.388888888888889,0.6111111111111112,2.533333333333333,7.0,8,14.0,14.0,14.0,14.0,2.857142857142857,0.3571428571428571,3.857142857142857,10.0,3.0,4,13,1,14.0
2017-04-02,0,1,7,2.142857142857143,0.8571428571428571,1.7142857142857142,5.0,2,8.0,8.0,8.0,8.0,2.5,0.5,4.375,6.0,2.0,4,13,1,18.0
2017-04-02,0,2,13,2.3076923076923075,0.6923076923076923,2.076923076923077,9.0,2,25.0,25.0,25.0,25.0,2.52,0.52,3.88,17.0,6.0,4,13,1,12.5
2017-04-02,0,3,23,2.652173913043478,0.5652173913043478,3.809523809523809,9.0,13,22.0,22.0,22.0,22.0,2.3181818181818183,0.6818181818181818,4.368421052631579,11.0,10.0,4,13,1,12.666666666666666
2017-04-02,0,4,39,2.333333333333333,0.7435897435897436,4.694444444444445,13.0,25,17.0,17.0,17.0,17.0,2.823529411764706,0.3529411764705882,4.1875,8.0,7.0,4,13,1,15.25
2017-04-02,0,5,20,2.2,0.75,4.666666666666667,11.0,8,24.0,24.0,24.0,24.0,2.25,0.8333333333333334,3.5416666666666665,21.0,3.0,4,13,1,20.0
2017-04-03,1,0,15,2.333333333333333,0.7333333333333333,4.615384615384615,8.0,7,21.0,21.0,21.0,21.0,2.4285714285714284,0.7619047619047619,2.85,14.0,5.0,4,14,0,21.0
2017-04-03,1,1,2,2.5,0.5,4.0,1.0,1,10.0,10.0,10.0,10.0,2.3,0.7,3.2222222222222223,6.0,4.0,4,14,0,15.0
2017-04-03,1,2,25,2.64,0.44,3.56,14.0,7,22.0,22.0,22.0,22.0,2.4545454545454546,0.6818181818181818,0.2857142857142857,15.0,6.0,4,14,0,8.5
2017-04-03,1,3,19,2.473684210526316,0.5789473684210527,3.631578947368421,11.0,7,19.0,19.0,19.0,19.0,2.473684210526316,0.6842105263157895,3.0,10.0,9.0,4,14,0,14.0
2017-04-03,1,4,17,2.588235294117647,0.5294117647058824,3.294117647058824,10.0,7,29.0,29.0,29.0,29.0,2.2413793103448274,0.7931034482758621,4.928571428571429,11.0,18.0,4,14,0,15.25
2017-04-03,1,5,26,2.6153846153846154,0.5769230769230769,2.4,12.0,11,30.0,30.0,30.0,30.0,2.333333333333333,0.7666666666666667,4.678571428571429,12.0,17.0,4,14,0,15.6
2017-04-04,2,0,15,2.466666666666667,0.4666666666666667,2.076923076923077,10.0,2,7.5,7.5,7.5,7.5,2.625,0.625,2.4910714285714284,5.0,1.0,4,14,0,7.5
2017-04-04,2,1,14,2.7857142857142856,0.4285714285714285,2.4285714285714284,12.0,1,9.5,9.5,9.5,9.5,2.6988636363636367,0.48295454545454547,3.278409090909091,4.5,4.0,4,14,0,15.0
2017-04-04,2,2,19,2.3157894736842106,0.5789473684210527,3.7058823529411766,14.0,2,13.0,13.0,13.0,13.0,2.51875,0.6125,3.1,6.0,4.5,4,14,0,14.5
2017-04-04,2,3,22,2.409090909090909,0.5909090909090909,3.857142857142857,12.0,10,19.5,19.5,19.5,19.5,2.4087301587301586,0.5912698412698413,2.8769841269841265,10.5,6.5,4,14,0,16.0
2017-04-04,2,4,18,2.6666666666666665,0.4444444444444444,2.235294117647059,11.0,6,21.5,21.5,21.5,21.5,2.64027149321267,0.37895927601809953,2.489583333333333,11.0,10.0,4,14,0,17.5
2017-04-04,2,5,24,2.6666666666666665,0.5,0.2083333333333333,15.0,5,21.5,21.5,21.5,21.5,2.58008658008658,0.5573593073593074,0.41666666666666663,9.0,10.5,4,14,0,17.6
2017-04-05,3,0,11,2.636363636363636,0.3636363636363636,0.4545454545454545,6.0,5,14.0,14.0,14.0,14.0,2.75,0.4833333333333333,0.3555555555555555,10.0,4.0,4,14,0,14.0
2017-04-05,3,1,5,2.6,0.4,2.8,3.0,2,8.0,8.0,8.0,8.0,2.25,0.75,2.75,5.0,3.0,4,14,0,11.0
2017-04-05,3,2,14,2.571428571428572,0.5,3.642857142857143,12.0,1,14.5,14.5,14.5,14.5,2.594444444444444,0.4611111111111111,3.219444444444444,10.0,4.0,4,14,0,8.0
2017-04-05,3,3,17,2.5294117647058822,0.5882352941176471,4.411764705882353,7.0,9,19.5,19.5,19.5,19.5,2.563492063492064,0.5119047619047619,4.082633053221288,14.0,4.0,4,14,0,10.0
2017-04-05,3,4,25,2.84,0.32,3.16,18.0,5,26.0,26.0,26.0,26.0,2.4615384615384617,0.6153846153846154,4.041666666666667,13.0,13.0,4,14,0,11.75
2017-04-05,3,5,32,2.46875,0.5625,0.2666666666666666,24.0,6,23.5,23.5,23.5,23.5,2.63,0.5636363636363637,2.497272727272727,13.0,8.0,4,14,0,14.4
2017-04-06,4,0,13,2.3076923076923075,0.6923076923076923,0.3333333333333333,8.0,5,17.5,17.5,17.5,17.5,2.591666666666667,0.5416666666666667,2.361111111111111,12.0,4.5,4,14,0,17.5
2017-04-06,4,1,2,2.5,0.5,4.0,2.0,0,8.5,8.5,8.5,8.5,2.8680555555555554,0.47916666666666663,3.5,7.0,1.0,4,14,0,13.0
2017-04-06,4,2,15,2.466666666666667,0.5333333333333333,3.8,10.0,3,16.5,16.5,16.5,16.5,2.4111111111111114,0.6277777777777778,2.989583333333333,9.5,4.5,4,14,0,7.5
2017-04-06,4,3,12,2.4166666666666665,0.6666666666666666,4.166666666666667,6.0,3,21.0,21.0,21.0,21.0,2.446428571428571,0.6607142857142857,2.982142857142857,9.0,10.5,4,14,0,10.0
2017-04-06,4,4,26,2.3846153846153846,0.6538461538461539,4.375,12.0,13,24.5,24.5,24.5,24.5,2.727586206896552,0.39913793103448275,1.9501879699248126,14.0,8.0,4,14,0,10.5
2017-04-06,4,5,21,2.571428571428572,0.6666666666666666,4.380952380952381,10.0,10,25.5,25.5,25.5,25.5,2.601851851851852,0.5509259259259259,1.3541666666666665,16.0,8.5,4,14,0,13.6
2017-04-07,5,0,9,2.4444444444444446,0.6666666666666666,4.222222222222222,4.0,5,12.5,12.5,12.5,12.5,2.3685897435897436,0.5544871794871795,1.3333333333333333,9.0,2.0,4,14,0,12.5
2017-04-07,5,1,5,2.6,0.4,3.2,5.0,0,7.5,7.5,7.5,7.5,2.8636363636363633,0.5681818181818181,2.431818181818182,5.5,1.5,4,14,0,9.0
2017-04-07,5,2,17,2.9411764705882355,0.1764705882352941,3.941176470588236,9.0,8,18.5,18.5,18.5,18.5,2.3771929824561404,0.6213450292397661,2.796052631578948,8.5,6.5,4,14,0,7.0
2017-04-07,5,3,18,2.555555555555556,0.3888888888888889,2.764705882352941,10.0,7,22.0,22.0,22.0,22.0,2.7458333333333336,0.3958333333333333,3.35,10.0,9.5,4,14,0,10.333333333333334
2017-04-07,5,4,23,2.608695652173913,0.4347826086956521,2.619047619047619,6.0,17,22.5,22.5,22.5,22.5,2.4200404858299596,0.6255060728744939,3.8034188034188032,12.5,9.0,4,14,0,12.25
2017-04-07,5,5,31,2.7419354838709675,0.4838709677419355,3.0,17.0,14,19.5,19.5,19.5,19.5,2.6847826086956523,0.5108695652173914,2.6363636363636362,8.5,10.0,4,14,0,14.4
2017-04-08,6,0,20,2.4,0.75,3.421052631578948,10.0,10,19.0,19.0,19.0,19.0,2.5710227272727275,0.5823863636363636,2.409090909090909,11.5,7.0,4,14,1,19.0
2017-04-08,6,1,5,2.2,0.8,3.4,4.0,1,6.5,6.5,6.5,6.5,2.333333333333333,0.8333333333333333,3.5357142857142856,4.0,2.0,4,14,1,20.0
2017-04-08,6,2,22,2.5454545454545454,0.5909090909090909,3.809523809523809,11.0,10,14.5,14.5,14.5,14.5,2.3,0.5904761904761905,2.6571428571428575,10.5,2.5,4,14,1,12.5
2017-04-08,6,3,20,2.5,0.55,2.85,13.0,4,27.0,27.0,27.0,27.0,2.806818181818182,0.5241477272727273,3.0852272727272725,15.0,10.5,4,14,1,15.666666666666666
2017-04-08,6,4,21,2.238095238095238,0.7619047619047619,2.9,14.0,4,22.0,22.0,22.0,22.0,2.674948240165632,0.5269151138716356,3.4102870813397126,10.5,10.0,4,14,1,16.75
2017-04-08,6,5,25,2.36,0.8,4.16,20.0,5,25.5,25.5,25.5,25.5,2.6880952380952383,0.3738095238095237,2.827777777777778,9.5,12.5,4,14,1,17.6
2017-04-09,0,0,12,2.5,0.6666666666666666,4.636363636363637,6.0,6,16.0,16.0,16.0,16.0,2.623015873015873,0.48412698412698413,3.1952380952380954,8.5,5.5,4,14,1,16.0
2017-04-09,0,1,7,2.857142857142857,0.1428571428571428,3.4285714285714284,6.0,0,7.5,7.5,7.5,7.5,2.321428571428571,0.6785714285714286,3.044642857142857,5.5,2.0,4,14,1,12.0
2017-04-09,0,2,22,2.227272727272727,0.6363636363636364,4.111111111111111,12.0,10,19.0,19.0,19.0,19.0,2.413846153846154,0.6061538461538462,2.9784615384615387,13.0,4.0,4,14,1,9.5
2017-04-09,0,3,20,2.3,0.7,4.352941176470588,12.0,8,22.5,22.5,22.5,22.5,2.4851778656126484,0.6235177865612648,4.088972431077694,10.0,11.5,4,14,1,13.666666666666666
2017-04-09,0,4,18,2.388888888888889,0.5555555555555556,4.235294117647059,9.0,6,28.0,28.0,28.0,28.0,2.5784313725490193,0.548265460030166,4.440972222222222,10.5,16.0,4,14,1,15.25
2017-04-09,0,5,21,2.238095238095238,0.8095238095238095,1.8571428571428568,14.0,6,22.0,22.0,22.0,22.0,2.225,0.7916666666666667,4.104166666666667,16.0,5.5,4,14,1,15.8
2017-04-10,1,0,19,2.473684210526316,0.5789473684210527,2.8947368421052637,10.0,6,18.0,18.0,18.0,18.0,2.3809523809523805,0.7476190476190476,3.7326923076923073,11.0,6.0,4,15,0,18.0
2017-04-10,1,1,8,2.875,0.375,3.625,5.0,3,6.0,6.0,6.0,6.0,2.4,0.6,3.611111111111111,3.5,2.5,4,15,0,19.0
2017-04-10,1,2,23,2.260869565217391,0.6956521739130435,3.863636363636364,14.0,9,23.5,23.5,23.5,23.5,2.5472727272727274,0.5609090909090909,1.9228571428571428,14.5,6.5,4,15,0,13.5
2017-04-10,1,3,12,2.6666666666666665,0.5833333333333334,4.333333333333333,5.0,6,19.0,19.0,19.0,19.0,2.473684210526316,0.631578947368421,3.3157894736842106,10.5,8.0,4,15,0,16.666666666666668
2017-04-10,1,4,20,2.35,0.7,4.05,14.0,5,23.0,23.0,23.0,23.0,2.414807302231237,0.6612576064908722,4.1113445378151265,10.5,12.5,4,15,0,15.5
2017-04-10,1,5,25,2.64,0.44,0.25,15.0,10,28.0,28.0,28.0,28.0,2.4743589743589745,0.6717948717948719,3.5392857142857146,12.0,14.0,4,15,0,16.4
2017-04-11,2,0,17,2.764705882352941,0.4705882352941176,0.0,9.0,7,11.0,10.0,10.0,10.0,2.5722222222222224,0.5722222222222223,2.353021978021978,6.666666666666667,1.3333333333333333,4,15,0,10.0
2017-04-11,2,1,8,2.75,0.5,2.875,7.0,1,11.0,11.0,11.0,11.0,2.7278138528138527,0.4648268398268398,2.9951298701298703,7.0,3.0,4,15,0,17.0
2017-04-11,2,2,14,2.571428571428572,0.4285714285714285,3.7857142857142856,9.0,5,14.5,15.0,15.0,15.0,2.45109649122807,0.6013157894736842,3.3019607843137257,8.666666666666666,3.6666666666666665,4,15,0,12.5
2017-04-11,2,3,11,2.272727272727273,0.7272727272727273,2.6,5.0,6,20.0,20.333333333333332,20.333333333333332,20.333333333333332,2.408850408850409,0.5911495911495912,3.2037037037037037,11.0,7.666666666666667,4,15,0,13.0
2017-04-11,2,4,17,2.588235294117647,0.4705882352941176,2.411764705882353,9.0,8,17.5,20.333333333333332,20.333333333333332,20.333333333333332,2.649069884364002,0.40078766549354783,2.4048202614379086,11.0,8.666666666666666,4,15,0,12.5
2017-04-11,2,5,18,2.888888888888889,0.4444444444444444,2.555555555555556,7.0,11,23.0,22.333333333333332,22.333333333333332,22.333333333333332,2.6089466089466087,0.5382395382395383,0.34722222222222215,11.0,8.666666666666666,4,15,0,13.4
2017-04-12,3,0,9,2.7777777777777777,0.4444444444444444,3.5,5.0,3,14.5,13.0,13.0,13.0,2.7121212121212124,0.44343434343434346,0.38855218855218854,8.666666666666666,4.333333333333333,4,15,0,13.0
2017-04-12,3,1,5,2.0,0.8,4.0,3.0,1,6.5,7.0,7.0,7.0,2.3666666666666667,0.6333333333333333,2.766666666666667,4.333333333333333,2.6666666666666665,4,15,0,9.0
2017-04-12,3,2,18,2.2777777777777777,0.6666666666666666,3.764705882352941,8.0,9,11.5,14.333333333333334,14.333333333333334,14.333333333333334,2.586772486772487,0.47407407407407404,3.360582010582011,10.666666666666666,3.0,4,15,0,7.0
2017-04-12,3,3,15,2.4,0.6666666666666666,4.4,12.0,3,19.0,18.666666666666668,18.666666666666668,18.666666666666668,2.55213196389667,0.5373482726423903,4.19234360410831,11.666666666666666,5.666666666666667,4,15,0,10.666666666666666
2017-04-12,3,4,24,2.333333333333333,0.7916666666666666,4.869565217391305,16.0,7,25.5,25.666666666666668,25.666666666666668,25.666666666666668,2.5876923076923077,0.5169230769230769,3.7477777777777774,14.666666666666666,10.333333333333334,4,15,0,11.75
2017-04-12,3,5,23,2.391304347826087,0.6956521739130435,4.7727272727272725,8.0,14,27.0,26.333333333333332,26.333333333333332,26.333333333333332,2.57625,0.5632575757575758,1.7537373737373736,16.666666666666668,7.333333333333333,4,15,0,14.2
2017-04-13,4,0,10,2.8,0.6,4.6,7.0,3,16.5,16.0,16.0,16.0,2.4970085470085466,0.5918803418803419,1.6851851851851851,10.666666666666666,4.666666666666667,4,15,0,16.0
2017-04-13,4,1,9,2.555555555555556,0.4444444444444444,3.4444444444444446,7.0,2,5.5,6.333333333333333,6.333333333333333,6.333333333333333,2.7453703703703702,0.4861111111111111,3.6666666666666665,5.333333333333333,0.6666666666666666,4,15,0,10.0
2017-04-13,4,2,10,2.7,0.5,2.7,6.0,1,16.5,16.0,16.0,16.0,2.42962962962963,0.5962962962962962,3.2597222222222224,9.666666666666666,4.0,4,15,0,9.5
2017-04-13,4,3,18,2.5,0.5555555555555556,3.888888888888889,8.0,8,20.0,18.0,18.0,18.0,2.4365079365079363,0.6626984126984127,3.376984126984127,8.0,8.0,4,15,0,9.666666666666666
2017-04-13,4,4,25,2.84,0.32,3.84,12.0,9,23.0,25.0,25.0,25.0,2.6132625994694965,0.48404067197170647,2.7584586466165413,13.333333333333334,9.666666666666666,4,15,0,11.75
2017-04-13,4,5,27,2.185185185185185,0.8148148148148148,4.185185185185185,5.0,20,24.0,24.0,24.0,24.0,2.5917107583774253,0.5895061728395062,2.363095238095238,14.0,9.0,4,15,0,14.4
2017-04-14,5,0,16,2.9375,0.3125,4.1875,9.0,6,10.5,11.333333333333334,11.333333333333334,11.333333333333334,2.393874643874644,0.5918803418803419,2.2962962962962963,7.333333333333333,3.0,4,15,0,11.333333333333334
2017-04-14,5,1,8,2.875,0.25,3.625,5.0,2,8.0,6.666666666666667,6.666666666666667,6.666666666666667,2.775757575757576,0.5121212121212121,2.687878787878788,5.333333333333333,1.0,4,15,0,16.0
2017-04-14,5,2,16,2.5625,0.4375,4.0625,9.0,6,17.5,18.0,18.0,18.0,2.5651874785001723,0.4730535489049421,3.177760577915377,8.666666666666666,7.0,4,15,0,12.0
2017-04-14,5,3,21,2.619047619047619,0.6190476190476191,4.428571428571429,12.0,9,21.0,20.666666666666668,20.666666666666668,20.666666666666668,2.6824074074074074,0.39351851851851855,3.1549019607843136,10.0,8.666666666666666,4,15,0,13.333333333333334
2017-04-14,5,4,11,3.0,0.4545454545454545,4.2727272727272725,5.0,5,21.0,22.666666666666668,22.666666666666668,22.666666666666668,2.482925541277944,0.5619315848148799,3.408628408628409,10.333333333333334,11.666666666666666,4,15,0,15.25
2017-04-14,5,5,27,2.814814814814815,0.2962962962962963,3.769230769230769,7.0,17,27.0,23.333333333333332,23.333333333333332,23.333333333333332,2.703833567087424,0.5018700327255727,2.757575757575758,11.333333333333334,11.333333333333334,4,15,0,14.4
2017-04-15,6,0,27,2.4444444444444446,0.6296296296296297,4.0,14.0,13,21.0,19.333333333333332,19.333333333333332,19.333333333333332,2.5140151515151516,0.6382575757575758,2.7464114832535884,11.0,8.0,4,15,1,19.333333333333332
2017-04-15,6,1,6,2.1666666666666665,0.8333333333333334,4.0,5.0,1,5.5,6.0,6.0,6.0,2.288888888888889,0.8222222222222223,3.4904761904761905,4.0,1.6666666666666667,4,15,1,27.0
2017-04-15,6,2,15,2.533333333333333,0.6666666666666666,4.266666666666667,8.0,6,18.0,17.0,17.0,17.0,2.381818181818182,0.5906204906204907,3.041269841269841,10.666666666666666,5.0,4,15,1,16.5
